2025-04-12 08:57:39 | razer                          | INFO     | Serving DBus
2025-04-12 09:40:48 | razer                          | INFO     | Stopping daemon on signal 15
2025-04-12 09:41:53 | razer                          | INFO     | Initialising Daemon (v3.10.1). Pid: 1376
2025-04-12 09:41:53 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-04-12 09:41:53 | razer                          | INFO     | Found device.0: 0003:1532:0F1F.000D
2025-04-12 09:41:53 | razer.device0                  | INFO     | Initialising device.0 RazerChromaARGB
2025-04-12 09:41:53 | razer                          | INFO     | Serving DBus
2025-04-12 13:42:37 | razer                          | INFO     | Stopping daemon on signal 15
2025-04-12 13:48:47 | razer                          | INFO     | Initialising Daemon (v3.10.1). Pid: 1418
2025-04-12 13:48:47 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-04-12 13:48:47 | razer                          | INFO     | Found device.0: 0003:1532:0F1F.000D
2025-04-12 13:48:47 | razer.device0                  | INFO     | Initialising device.0 RazerChromaARGB
2025-04-12 13:48:47 | razer                          | INFO     | Serving DBus
2025-04-12 14:32:51 | razer                          | INFO     | Stopping daemon on signal 15
2025-04-12 20:37:38 | razer                          | INFO     | Initialising Daemon (v3.10.1). Pid: 1385
2025-04-12 20:37:38 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-04-12 20:37:38 | razer                          | INFO     | Found device.0: 0003:1532:0F1F.000D
2025-04-12 20:37:38 | razer.device0                  | INFO     | Initialising device.0 RazerChromaARGB
2025-04-12 20:37:38 | razer                          | INFO     | Serving DBus
2025-04-13 02:22:42 | razer                          | INFO     | Stopping daemon on signal 15
2025-04-13 04:55:45 | razer                          | INFO     | Initialising Daemon (v3.10.1). Pid: 1417
2025-04-13 04:55:45 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-04-13 04:55:45 | razer                          | INFO     | Found device.0: 0003:1532:0F1F.000D
2025-04-13 04:55:45 | razer.device0                  | INFO     | Initialising device.0 RazerChromaARGB
2025-04-13 04:55:45 | razer                          | INFO     | Serving DBus
2025-04-13 16:22:29 | razer                          | INFO     | Stopping daemon on signal 15
2025-04-13 19:14:15 | razer                          | INFO     | Initialising Daemon (v3.10.1). Pid: 1396
2025-04-13 19:14:15 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-04-13 19:14:15 | razer                          | INFO     | Found device.0: 0003:1532:0F1F.000E
2025-04-13 19:14:15 | razer.device0                  | INFO     | Initialising device.0 RazerChromaARGB
2025-04-13 19:14:15 | razer                          | INFO     | Serving DBus
2025-04-14 08:58:04 | razer                          | INFO     | Stopping daemon on signal 15
2025-04-14 08:59:18 | razer                          | INFO     | Initialising Daemon (v3.10.1). Pid: 1420
2025-04-14 08:59:18 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-04-14 08:59:18 | razer                          | INFO     | Found device.0: 0003:1532:0F1F.000A
2025-04-14 08:59:18 | razer.device0                  | INFO     | Initialising device.0 RazerChromaARGB
2025-04-14 08:59:18 | razer                          | INFO     | Serving DBus
2025-04-14 10:48:02 | razer                          | INFO     | Stopping daemon on signal 15
2025-04-14 13:30:29 | razer                          | INFO     | Initialising Daemon (v3.10.1). Pid: 1533
2025-04-14 13:30:29 | razer.screensaver              | INFO     | Initialising DBus Screensaver Monitor
2025-04-14 13:30:29 | razer                          | INFO     | Found device.0: 0003:1532:0F1F.000A
2025-04-14 13:30:29 | razer.device0                  | INFO     | Initialising device.0 RazerChromaARGB
2025-04-14 13:30:29 | razer                          | INFO     | Serving DBus
